XCoord,YCoord,SEGID,STATEFP00,COUNTYFP00,TRACTCE00,BLOCKCE00,BLKIDFP00,ALAND00,AWATER00
-157.86321336,21.31199846,158,15,003,005200,1012,150030052001012,6401.000000,0.000000
-117.25878889,32.82802183,251,06,073,008311,1005,060730083111005,21108.000000,0.000000
-117.27347469,32.84970102,236,06,073,008200,3000,060730082003000,45478.000000,0.000000
-117.24795933,33.05505601,206,06,073,017108,2011,060730171082011,24618.000000,0.000000
-117.81943041,33.74066931,173,06,059,075507,4005,060590755074005,26999.000000,0.000000
-116.89490764,33.75239613,183,06,065,043703,2002,060650437032002,26210.000000,0.000000
-118.26478278,33.83385843,121,06,037,543802,1000,060375438021000,144965.000000,0.000000
-118.15776592,33.86947536,160,06,037,570204,2011,060375702042011,20895.000000,0.000000
-117.42443230,33.95130711,247,06,065,031002,1004,060650310021004,80702.000000,0.000000
-118.02958944,33.95313645,123,06,037,501900,3005,060375019003005,51062.000000,0.000000
-118.19982805,33.97686752,106,06,037,533602,1001,060375336021001,38611.000000,0.000000
-118.30731823,34.07376178,191,06,037,211410,1000,060372114101000,31698.000000,0.000000
-117.71255074,34.10005078,227,06,037,401901,2008,060374019012008,62325.000000,0.000000
-118.50348881,34.26120586,129,06,037,111301,1008,060371113011008,26997.000000,0.000000
-120.87216245,35.41003183,248,06,079,010500,1000,060790105001000,59226.000000,0.000000
-121.65145483,36.70301858,172,06,053,000200,2004,060530002002004,25414.000000,0.000000
-122.45755799,37.71324038,140,06,075,031400,4004,060750314004004,25689.000000,0.000000
-121.13574523,38.15025022,109,06,077,004701,2012,060770047012012,1478506.000000,0.000000
-122.02047926,38.25809235,224,06,095,252608,2016,060952526072000,61593.000000,0.000000
-115.21776837,36.18759192,199,32,003,003423,5002,320030034235002,39224.000000,0.000000
-119.29628741,36.30408758,122,06,107,001902,3000,061070019023000,62293.000000,0.000000
-121.30542216,38.77264705,226,06,061,021008,2000,060610210082000,95613.000000,0.000000
-98.58649060,29.41596082,194,48,029,171500,4012,480291715004012,22126.000000,0.000000
-98.50488349,29.42746199,186,48,029,110600,3025,480291106003025,12298.000000,0.000000
-98.67282501,29.42972184,212,48,029,171910,3003,480291719103003,54454.000000,0.000000
-98.36128673,29.55759476,216,48,029,121803,1000,480291218031000,716297.000000,2839.000000
-98.49880586,29.56305719,131,48,029,191402,3002,480291914023002,1701916.000000,67873.000000
-98.44804380,29.62451232,221,48,029,121902,1004,480291219021004,741330.000000,0.000000
-95.23513253,29.65023225,167,48,201,320900,3007,482013209003007,34827.000000,0.000000
-95.45695737,29.73701858,178,48,201,411600,2002,482014116002002,27806.000000,0.000000
-95.35740833,29.80693107,196,48,201,210700,3017,482012107003017,9479.000000,0.000000
-97.75811866,30.41278024,230,48,453,001758,2000,484530017582000,873376.000000,0.000000
-82.51414930,27.29043245,244,12,115,001704,2004,121150017042004,31017.000000,0.000000
-82.65074588,27.79070139,181,12,103,023300,1007,121030233001007,17075.000000,0.000000
-82.47834878,27.97875771,217,12,057,002700,1000,120570027001000,51766.000000,0.000000
-82.71490691,28.01208908,185,12,103,026813,1017,121030268131017,50428.000000,999.000000
-82.79102949,28.01621538,213,12,103,027101,3003,121030271013003,66700.000000,0.000000
-90.05221499,29.91617008,124,22,051,025600,1008,220510256001008,17247.000000,0.000000
-90.01152564,29.96159914,252,22,071,000904,1025,220710009041025,10978.000000,0.000000
-91.04946796,30.41332372,253,22,033,003907,2006,220330039072006,93442.000000,0.000000
-87.24550149,30.53381907,154,12,033,003606,2008,120330036062008,303769.000000,0.000000
-88.08605696,30.65152307,255,01,097,002302,3003,010970023023003,23493.000000,0.000000
-88.15609498,30.67149819,144,01,097,003203,1002,010970032031002,211857.000000,0.000000
-87.09283861,30.76879523,118,12,113,010400,1047,121130104001047,2590801.000000,0.000000
-81.75526789,30.25841340,214,12,031,012800,2002,120310128002002,28404.000000,0.000000
-80.10138466,26.79570500,237,12,099,001004,1022,120990010041022,14523.000000,0.000000
-110.82199745,32.17737234,146,04,019,004036,1011,040190040361011,108926.000000,0.000000
-110.98460532,32.31793181,155,04,019,004617,2000,040190046172000,574510.000000,0.000000
-112.03016442,33.47235027,156,04,013,111501,1007,040131116012000,17210.000000,0.000000
-112.05074849,33.50288157,180,04,013,108602,2009,040131086022009,20386.000000,0.000000
-112.01376536,33.50999459,189,04,013,107800,4000,040131078004000,584054.000000,26730.000000
-106.59440639,35.07361231,177,35,001,000500,4042,350010005004042,18292.000000,0.000000
-97.88329018,31.12337125,169,48,099,010601,3012,480990106013012,77049.000000,0.000000
-97.11507467,31.54661282,113,48,309,000300,1025,483090003001025,15349.000000,0.000000
-97.25360408,32.65847185,222,48,439,111102,1023,484391111021023,68062.000000,0.000000
-96.79838826,32.69982817,145,48,113,005700,4021,481130057004021,71483.000000,0.000000
-97.19886224,32.74526488,107,48,439,101301,1000,484391013011000,14872.000000,0.000000
-101.84853551,33.59440724,243,48,303,000700,2042,483030007002042,20063.000000,0.000000
-98.43011071,34.60624723,130,40,031,001400,2006,400310014002006,19137.000000,0.000000
-97.53629666,35.35254595,136,40,027,201802,1008,400272018021008,26643.000000,0.000000
-97.74479764,35.49431534,195,40,017,301201,3018,400173012013018,41103.000000,0.000000
-111.92690914,40.77908184,245,49,035,100600,3011,490351006003011,31779.000000,0.000000
-104.73123060,38.86875106,187,08,041,005800,3007,080410058003007,27818.000000,0.000000
-105.01944862,39.83883766,153,08,001,009309,2005,080010093092005,30567.000000,0.000000
-94.52611152,38.88419976,120,29,095,013301,7004,290950133017004,81655.000000,0.000000
-94.46752658,39.03436100,147,29,095,010600,3002,290950106003002,238002.000000,0.000000
-94.88091582,39.17788664,193,20,209,044803,1006,202090448031006,4603437.000000,21487.000000
-94.47965239,39.25872937,231,29,047,021304,1026,290470213041026,2593288.000000,52191.000000
-94.68205250,39.30798257,126,29,165,030201,1018,291650302011018,79246.000000,0.000000
-96.17562954,41.24557394,203,31,055,007450,1018,310550074501018,18942.000000,0.000000
-90.13005146,32.37252774,220,28,049,000100,3018,280490001003018,59654.000000,0.000000
-87.58043612,33.23549216,204,01,125,010403,2024,011250104032024,67073.000000,0.000000
-90.03038090,35.15898715,117,47,157,002000,3010,471570020003010,18179.000000,0.000000
-86.97806834,34.80942630,257,01,083,020600,3019,010830206003019,11027.000000,0.000000
-85.29083405,35.03465154,208,47,065,001400,3005,470650014003005,490525.000000,0.000000
-80.76283755,35.12939177,115,37,119,003015,2000,371190030152000,1492827.000000,5264.000000
-84.46685504,37.97797426,128,21,067,003405,2007,210670034052007,45148.000000,0.000000
-82.62996221,38.44570609,229,21,019,030500,3013,210190305003013,273601.000000,0.000000
-87.41130628,39.45401274,192,18,167,000800,3009,181670008003009,39413.000000,0.000000
-87.38366765,39.46177770,108,18,167,001500,5004,181670015005004,20518.000000,0.000000
-84.18553986,39.74135090,164,39,113,003400,1011,391130034001011,20013.000000,0.000000
-82.43452636,40.05416303,168,39,089,753600,2001,390897536002001,120182.000000,0.000000
-82.97264534,40.08917324,242,39,049,006943,1007,390490069431007,25331.000000,0.000000
-81.56914473,41.04826710,151,39,153,505100,3016,391535051003016,13866.000000,0.000000
-79.74794882,36.05813647,133,37,081,012803,2010,370810128032010,43119.000000,0.000000
-76.14762280,36.89152912,149,51,810,041200,2015,518100412002015,33866.000000,0.000000
-78.50894272,38.04878520,217,51,003,010901,2000,510030109012000,197371.000000,0.000000
-77.05078063,38.89962582,197,11,001,005600,2000,110010056002000,13971.000000,0.000000
-77.03647201,38.90078058,211,11,001,005202,1007,110010052021007,19164.000000,0.000000
-76.48535476,39.35210677,250,24,005,440701,1000,240054407011000,518927.000000,0.000000
-80.09146999,40.38017595,219,42,003,470300,2001,420034704003001,919608.000000,0.000000
-80.04850770,40.43994444,135,42,003,281500,1001,420032815001001,44016.000000,0.000000
-75.18548527,40.03238765,138,42,101,023900,2001,421010239002001,30494.000000,0.000000
-75.05149888,40.06635823,188,42,101,033700,2003,421010337002003,13248.000000,0.000000
-74.38067549,40.64720080,200,34,039,038700,2009,340390387002009,16948.000000,0.000000
-73.97686767,40.65863863,184,36,047,017100,1002,360470171001002,18705.000000,0.000000
-73.93855251,40.66377525,205,36,047,033100,1001,360470331001001,18745.000000,0.000000
-73.70262209,40.66500126,119,36,059,410500,4003,360594105004003,34823.000000,0.000000
-73.95401981,40.67804166,179,36,047,022100,1001,360470221001001,19539.000000,0.000000
-73.93207396,40.69053842,256,36,047,029100,2000,360470291002000,20573.000000,0.000000
-73.95893955,40.69196663,137,36,047,023500,3002,360470235003002,17003.000000,0.000000
-73.73013583,40.69697858,235,36,081,059400,2001,360810594002001,16431.000000,0.000000
-73.92906164,40.70376090,163,36,047,042700,3001,360470427003001,16254.000000,0.000000
-74.08016937,40.70711619,157,34,017,005200,1000,340170052001000,28962.000000,0.000000
-73.98775131,40.72292842,114,36,061,003002,2002,360610030022002,5978.000000,0.000000
-73.90877061,40.72433366,233,36,081,052900,1006,360810529001006,25763.000000,0.000000
-74.00407776,40.72514409,232,36,061,004700,1003,360610051001008,6379.000000,0.000000
-74.20531940,40.73594369,150,34,013,003400,2000,340130034002000,140913.000000,0.000000
-74.00219934,40.74007222,246,36,061,008100,3001,360610081003001,24034.000000,0.000000
-73.80537454,40.75764969,132,36,081,119100,1001,360811191001001,20835.000000,0.000000
-73.86830464,40.75917063,134,36,081,036300,2000,360810363002000,18005.000000,0.000000
-73.94466574,40.79893274,170,36,061,018400,3000,360610184003000,36412.000000,0.000000
-73.85013788,40.90219550,127,36,005,044000,1000,360050440001000,101316.000000,0.000000
-74.34786623,40.98118404,111,34,027,040701,1007,340270407011007,505908.000000,34473.000000
-116.26632828,43.62920850,223,16,001,001201,2009,160010012012009,34791.000000,0.000000
-122.48795164,45.49821604,116,41,051,009804,2012,410510098042012,17289.000000,0.000000
-122.57496603,45.53087698,148,41,051,001702,1007,410510017021007,18072.000000,0.000000
-122.30268482,47.60952314,249,53,033,008800,5011,530330088005011,10933.000000,0.000000
-149.73357248,61.20145774,165,02,020,001731,4000,020200017314000,414082.000000,0.000000
-149.87093353,61.22935370,190,02,020,000500,1025,020200005001025,18463.000000,0.000000
-96.13892961,41.30068425,207,31,055,007430,1030,310550074312001,25150.000000,0.000000
-93.64742752,41.54672989,152,19,153,004502,6005,191530045026005,123954.000000,0.000000
-93.71943365,41.64670480,218,19,153,010404,1016,191530104041016,102851.000000,0.000000
-93.24318520,45.10045197,209,27,003,051103,3010,270030511033010,27812.000000,0.000000
-93.29961240,45.16527991,139,27,003,050608,3003,270030506083003,27449.000000,0.000000
-87.74507738,41.60677761,182,17,031,825000,1019,170318250001019,41113.000000,0.000000
-87.64311278,41.71146628,228,17,031,730600,1007,170317306001007,20418.000000,0.000000
-87.54445827,41.73476011,171,17,031,460700,1005,170314607001005,23171.000000,0.000000
